Category,Rank,Title,Price,Rating,Number of Reviews
Home & Kitchen,19,Homestrap Set of 6 Non-Woven Printed Saree Cover/Cloth Storage/Wardrobe Organizer For Clothes with Transparent Window (Grey)(Shark Tank Featured) 45cmx33cmx22cm,329.0,4.0,20140.0
Home & Kitchen,20,"AERYS Digital Alarm Clock with Automatic Sensor, Date and Temperature Display, Compact Desk Table Clock for Students, Home, Office, Bedroom, Living Room,Home Decor, Corporate Use (Black Digital)",289.0,3.8,6961.0
Home & Kitchen,21,Shalimar Premium (Lavender Fragrance) Scented Garbage Bags | Medium 19 X 21 Inches | 120 Bags (30 Bags X 4 Rolls) | Dustbin Bag/Trash Bag | (Black) - Perforated Box for Easy Dispensing,289.0,4.0,23102.0
Home & Kitchen,22,"Amazon Brand - Solimo Microfibre Reversible Comforter, Double (Subtle Beige & Walnut Brown, 200 GSM), 50 TC",,4.2,68735.0
Home & Kitchen,23,"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",149.0,3.9,317442.0
Home & Kitchen,24,"Fresh Assorted Roses (Button Roses), 100g",,4.2,177.0
Home & Kitchen,25,Coffee Frother Electric Rechargeable Coffee Maker Machine for Home Electric Coffee Frother Machine & Milk Whisker with Dual Spring Tech GetSetNova | 1 Year Warranty | Free Recipe Book (Frother),299.0,4.6,11298.0
Home & Kitchen,26,"Pigeon Kessel Multipurpose Kettle (12173) 1.2 litres with Stainless Steel Body, used for boiling Water and milk, Tea, Coffee, Oats, Noodles, Soup etc. 600 Watt (Black & Silver)",719.0,3.8,26563.0
Home & Kitchen,27,"Wakefit 100% Waterproof Premium Cotton Mattress Protector | Breathable and Hypoallergenic Ultra Soft Fitted Bed Protector 78""x72"" - King, Grey",,4.3,112306.0
Home & Kitchen,28,Wakefit Hollow Fiber Sleeping Pillow | Height Adjustable | Soft & Fluffy Comfort | White & Grey | 27 x 16 Inch | Set of 2 |Free Extra Fiber for Custom Comfort (300 Grams),845.0,4.3,79346.0
Home & Kitchen,29,"CareFoam Memory Foam Cervical Neck Pillow | 2 Years Warranty | Pain Relief Sleep, Improves Posture Spinal Alignment, Neck Pain Relief | Queen 19 x 11 x 3.5 Inch | White Jacquard Cover | Pack of 1",599.0,4.0,2737.0
Home & Kitchen,30,Orient Electric Arc Plus 1.5kw |Immersion water heater|100% shock proof body|Heavy copper element|With Bucket clip| ISI certified | 2 years replacement warranty,549.0,4.0,2585.0
Kindle Store,1,Harry Potter and the Philosopher's Stone,313.95,4.7,134364.0
Kindle Store,2,50 Things to Realize Before It's too late (Thought Provoking Series Book 1),248.0,4.4,807.0
Kindle Store,3,50 Greatest Short Stories,226.12,4.3,1094.0
Kindle Store,4,The 7 Habits of Highly Effective People: The Infographics Edition,209.0,4.0,19208.0
Kindle Store,5,Finding Shiva: A Scientific Exploration of the Formless God,249.0,4.2,26.0
Kindle Store,6,The Answer Is No: A Short Story,69.0,4.0,55624.0
Kindle Store,7,How to Win Friends and Influence People,10.62,4.4,108773.0
Kindle Store,8,"Fake It 'til You Make It: A laugh-out-loud, fake-dating romantic comedy from Laura Carter",154.46,4.2,2454.0
Kindle Store,9,"30 DAYS: Change your habits, Change your life",226.12,4.4,2945.0
Kindle Store,10,How to Become a People Magnet: 62 Life-Changing Tips to Attract Everyone You Meet,149.1,4.4,
Kindle Store,11,The Art of War,51.45,4.1,19128.0
Kindle Store,12,Between the Lines,399.0,4.3,5344.0
Kindle Store,13,Autobiography of a Yogi,51.45,4.6,1635.0
Kindle Store,14,108 Panchatantra Stories,90.0,4.1,308.0
Kindle Store,15,The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,331.0,4.4,586968.0
Kindle Store,16,THINK AND GROW RICH,51.45,4.4,3523.0
Kindle Store,17,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things (Productivity Series Book 1),99.0,4.4,16895.0
Kindle Store,18,The Wrong Daughter: The absolutely unputdownable psychological thriller with a jaw-dropping twist by Dandy Smith for 2025!,302.1,4.0,14734.0
Kindle Store,19,Silent Flames,499.0,4.0,1123.0
Kindle Store,20,The Cruel Prince (The Folk of the Air),296.4,4.0,65772.0
Kindle Store,21,From the Rat Race to Financial Freedom: A Common Man’s Journey... (3rd Edition),353.41,4.4,666.0
Kindle Store,22,How to Become Rich: 12 Lessons I Learnt from Vedic and Puranic Stories,149.47,4.4,905.0
Kindle Store,23,50 GREATEST DETECTIVE STORIES,295.45,3.9,189.0
Kindle Store,24,Chanakya in Daily Life,226.8,4.4,1770.0
Kindle Store,25,Mindful Zen Habits:,149.47,4.4,803.0
Kindle Store,26,We Are There for Each Other: An Intense Love Story of 4 Friends on a Road Trip of a Lifetime • Romance • Friendship • Fighting for Love • Travel Fiction,499.0,4.4,313.0
Kindle Store,27,நெஞ்சுக்குள்ளே கேட்குதே: Nenjukulle ketkuthey (Tamil Edition),499.0,4.0,55.0
Kindle Store,28,Truth and Tinsel: A Marriage In Crisis Romance,449.0,4.3,1342.0
Kindle Store,29,Seriously Silly Jokes for Kids: Joke Book for Boys and Girls ages 7-12,250.0,4.1,1193.0
Kindle Store,30,The Heart of a Storm (The Il Cuore Heirs Book 1),199.0,4.0,35.0
Movies & TV Shows,1,Red Dead Redemption 2 Europe Region,,4.3,11269.0
Movies & TV Shows,2,Planet of the Apes Trilogy (Uncut) [4K Ultra HD/Blu-ray] (2011-2017) | 3 Movies | 6 Discs (3 4K + 3 BD) | Imported from USA | 20th Century Fox | 375 min | Action Sci-Fi Fantasy,,0.0,1.0
Movies & TV Shows,3,Tomb Raider: Definitive Edition (PS4),,4.6,
Movies & TV Shows,4,My Name is Khan,145.0,4.4,
Movies & TV Shows,5,The Matrix: 4-Film Déjà Vu Collection,,4.0,
Movies & TV Shows,6,Tenet,,4.3,
Movies & TV Shows,7,Underdog BD,399.0,4.0,
Movies & TV Shows,8,2 Movies Collection: Spider-Man: Far From Home + Spider-Man: Homecoming (Blu-ray 3D) (2-Disc),,4.6,
Movies & TV Shows,9,The Shawshank Redemption (2-Disc),800.0,4.6,
Movies & TV Shows,10,Bachna Ae Haseeno - Special Edition,299.0,4.1,
Movies & TV Shows,11,Ek Tha Tiger - Special Edition,299.0,3.9,
Movies & TV Shows,12,Chakde! India,,4.0,
Movies & TV Shows,13,Hum Tum,599.0,4.3,
Movies & TV Shows,14,War for the Planet of the Apes (2017) (Blu-ray),690.0,4.2,
Movies & TV Shows,15,Chuck Norris - Code of Silence,799.0,4.0,
Movies & TV Shows,16,Chuck Norris - Missing in Action,750.0,4.4,
Movies & TV Shows,17,Die Hard with a Vengeance,999.0,4.8,
Movies & TV Shows,18,Cat People (Full Uncut Version),999.0,4.6,
Movies & TV Shows,19,Dhobi Ghat (Mumbai Diaries) - Special Edition,890.0,4.2,
Movies & TV Shows,20,"The Hateful Eight (Uncut) [Blu-ray/DVD + UltraViolet] (2015) | Imported from USA | Starz/Anchor Bay | 168 min | Region A Locked | Crime Drama Mystery | Director: Quentin Tarantino | Starring: Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh",,4.7,
Movies & TV Shows,21,Superman,,4.0,
Movies & TV Shows,22,Kachche Dhaage,,3.6,
Movies & TV Shows,23,King of Comedy - A Martin Scorsese Film,,4.0,
Movies & TV Shows,24,Top Gun: Maverick,,4.8,
Movies & TV Shows,25,DC: Justice League (Blu-ray 3D) (1-Disc),,4.6,
Movies & TV Shows,26,Eddie The Eagle (2015),490.0,4.8,
Movies & TV Shows,27,Pixels,,4.7,
Movies & TV Shows,28,Bridget Jones's Baby,399.0,4.7,
Movies & TV Shows,29,Herbie: Fully Loaded DVD,99.0,4.6,
Movies & TV Shows,30,Faltu,125.0,2.0,
Music,1,"Ishq Par Zor Nahin - 3AEX 5254 - SPECIAL DEAL LP Vinyl Record, Lata Mangeshkar, Mohd. Rafi, Sachin Dev Burman",,,
Music,2,DeKulture Call of the Soul Songs CD Indian Folk Music Raza Khan,,0.0,
Music,3,Neon Future - 1,,4.7,
Music,4,WAR and Other Hits,399.0,3.7,
Music,5,"Sitare Zameen Par-Sharmila Tagore ""Ni Main Yaar""",198.0,3.8,
Music,6,Anusandhan Ogo Badhu Sundari,250.0,4.2,
Music,7,Kanda Sashti Kavacham,75.0,,
Music,8,At Home,,0.0,
Music,9,For Your Entertainment,,4.7,
Music,10,Sensuous Chill,499.0,4.0,
