Category,Rank,Title,Price,Rating,Number of Reviews
Electronics,#15,"Kratos K9 Selfie Stick Tripod With Light, 67 inch /170CM Reinforced Tripod for Mobile Phone, Multi-Functional Bluetooth Long Selfie Stick for Travel,Vlogging,Compatible with iPhone and All Smartphones",₹596.00,4.2 out of 5 stars,"2,535"
Electronics,#16,"POCO M7 5G, Ocean Blue (6GB, 128GB)","₹9,999.00",4.2 out of 5 stars,"2,421"
Electronics,#17,"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)",₹279.00,4.0 out of 5 stars,"5,655"
Electronics,#18,"iQOO Z10 Lite 5G (Cyber Green, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*","₹12,999.00",4.1 out of 5 stars,"5,013"
Electronics,#19,"boAt BassHeads 225 in-Ear Super Extra Bass Wired Headphones, with Mic (Black)",₹399.00,4.0 out of 5 stars,"116,646"
Electronics,#20,"Noise Buds N1 Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency Gaming (Up to 40 Ms), Instacharge(10 Min=120 Min), Bluetooth V5.3(Carbon Black)",₹799.00,3.8 out of 5 stars,"13,429"
Electronics,#21,"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)","₹1,299.00",4.0 out of 5 stars,"50,236"
Electronics,#22,"boAt 2025 Launch Airdopes 219, 4Mics ENx, 40H Battery, Best in Segment for Calling, Stream Ad Free Music via App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Forest Sage)","₹1,099.00",3.9 out of 5 stars,"2,631"
Electronics,#23,"Samsung Galaxy M17 5G (Sapphire Black, 6GB RAM, 128GB Storage)| 50MP OIS Triple Camera| Gorilla Glass Victus| IP54 Rating| 6 Gen of OS Upgrades| AI| Circle to Search| Gemini Live| Without Charger","₹14,499.00",4.1 out of 5 stars,740
Electronics,#24,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",₹669.00,4.1 out of 5 stars,"13,188"
Electronics,#25,"Boat Airdopes Joy, 35Hrs Battery, Fast Charge, IWP Tech, Low Latency, 2Mic ENx, Type-C Port, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic(Jet Black)",₹799.00,3.8 out of 5 stars,"7,088"
Electronics,#26,OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 12GB + 256GB | Black Infinity,"₹28,998.00",4.4 out of 5 stars,"3,913"
Electronics,#27,"Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio| 1 Year Replacement Guarantee | Charcoal","₹1,199.00",3.9 out of 5 stars,"158,014"
Electronics,#28,"TheGiftKart Ultra-Hybrid Crystal Clear Back Case Cover for iPhone 17 Pro | Shockproof Design | Hard Back Cover Case for iPhone 17 Pro (PC & TPU, Transparent)",₹279.00,4.2 out of 5 stars,"17,241"
Electronics,#29,"realme Buds T310 True Wireless in-Ear Earbuds with 46dB Hybrid ANC, 360° Spatial Audio, 12.4mm Dynamic Bass Driver, Upto 40Hrs Battery and Fast Charging (Vibrant Black)",N/A,4.2 out of 5 stars,"17,275"
Electronics,#30,"POPIO Military-Grade Gorilla Tempered Glass For iPhone 15/16 (Black) 9H Hardness, Edge-to-Edge Full Coverage, Anti-Scratch, Bubble-Free, Ultra Clear HD Glass, Oleophobic Coating, Face ID Compatible",₹299.00,4.0 out of 5 stars,"27,091"
Home & Kitchen,#1,"AGARO Elite Lint Remover with Cord, for Woolen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Curtains",₹379.00,4.3 out of 5 stars,"5,724"
Home & Kitchen,#2,Amazon Brand - Presto! Garbage Bags | Medium | 180 Count | 30 Bags X 6 Rolls | 19 X 21 Inches | For Dry & Wet Waste | Black,₹335.00,4.4 out of 5 stars,"55,644"
Home & Kitchen,#3,"Pigeon Amaze Plus Electric Kettle 1.5 L, 1300 Watt, Stainless Steel Body with Auto Shut-off Feature Used for Boiling Water - (Silver)",₹479.00,4.0 out of 5 stars,"172,504"
